      0.00018142     35.14360109     35.14312139      0.00000010      71 0.00043368      14 0.00003133      37 0.00022633      20 0.00017603      57 0.02035753       8 0.00101875      49 0.01933879       0 0.00000000      49 0.07481518       2 0.00264206       1 0.00121645      46 0.07095666     625 0.08928189     554 0.06048334      51 0.02473381      20 0.00406474      47 34.82045672      37 24.85099268       1 1.10018880       9 8.86927523
      0.00016752     40.69855936     33.56867977      7.12943385      84 0.00056680      11 0.00002299      46 0.00030334      27 0.00024047      73 0.02350551       7 0.00096046      66 0.02254505       0 0.00000000      66 0.10003264       3 0.00401416       1 0.00122280      62 0.09479568     585 0.07756550     501 0.04484872      57 0.02721034      27 0.00550645      63 40.36932289      54 32.83098347       2 1.92823626       7 5.61010316
      0.00017299     35.80831407     35.80785681      0.00000011      83 0.00057065      17 0.00003840      29 0.00019391      37 0.00033835      66 0.02254519       9 0.00098204      57 0.02156315       0 0.00000000      57 0.08781702       1 0.00159838       2 0.00225814      54 0.08396051     581 0.07605026     498 0.04793459      46 0.02167092      37 0.00644475      56 35.50617516      44 25.96116345       1 1.07642056      11 8.46859115
      0.00018562     44.34656770     44.34610059      0.00000010      71 0.00053953       8 0.00001824      32 0.00022045      31 0.00030084      63 0.02101030       6 0.00064941      57 0.02036089       0 0.00000000      57 0.08652939       1 0.00159447       3 0.00372862      53 0.08120630     616 0.06940489     545 0.04430244      40 0.01973036      31 0.00537209      56 44.04393986      42 31.09873554       1 1.24116207      13 11.70404225
      0.00017054     38.07794885     38.07749211      0.00000009      64 0.00044501       7 0.00001843      30 0.00017778      27 0.00024880      57 0.01765170       6 0.00085825      51 0.01679345       0 0.00000000      51 0.08138465       3 0.00453417       1 0.00119668      47 0.07565379     588 0.06638568     524 0.04275965      37 0.01775951      27 0.00586652      48 37.79088437      40 30.29290293       1 1.06175683       7 6.43622461
      0.00016788     34.87681679     34.87636758      0.00000010      80 0.00048306      13 0.00003011      50 0.00031170      17 0.00014125      67 0.01855246       6 0.00048928      61 0.01806318       0 0.00000000      61 0.09373288       5 0.00755525       0 0.00000000      56 0.08617763     585 0.09254622     505 0.05728484      62 0.03086611      18 0.00439527      56 34.54989825      43 24.04816447       1 0.93288755      12 9.56884623
      0.00018052     42.66265549     35.48298158      7.17921060      72 0.00046418       8 0.00002032      52 0.00033364      12 0.00011022      64 0.01734642       8 0.00076569      56 0.01658074       0 0.00000000      56 0.08607116       1 0.00143822       0 0.00000000      55 0.08463294     594 0.07386974     522 0.04225071      60 0.02896106      12 0.00265796      55 42.35768405      43 31.12087029       2 2.97829968      10 8.25851409
      0.00018264     35.26782575     35.26735628      0.00000009      64 0.00040923      11 0.00002559      40 0.00025394      13 0.00012969      53 0.01353096       7 0.00074460      46 0.01278636       0 0.00000000      46 0.07066331       2 0.00276861       0 0.00000000      44 0.06789470     549 0.07265845     485 0.04580352      51 0.02452205      13 0.00233289      44 35.00477956      37 27.53592376       1 1.21115095       6 6.25770485
      0.00018619     39.99018636     39.98967655      0.00000009      72 0.00045728      13 0.00002860      41 0.00026851      18 0.00016017      59 0.01988176       5 0.00046456      54 0.01941720       0 0.00000000      54 0.08096718       4 0.00554073       0 0.00000000      50 0.07542645     588 0.07833551     516 0.04796461      54 0.02595023      18 0.00442066      50 39.64965760      36 26.16766494       1 1.42516811      13 12.05682456
      0.00018231     45.62371480     45.62324869      0.00000009      84 0.00054375      13 0.00002851      42 0.00027508      29 0.00024016      71 0.02449343       7 0.00112862      64 0.02336481       0 0.00000000      64 0.09799840       3 0.00405776       1 0.00127872      60 0.09266192     555 0.09214058     471 0.05912698      55 0.02689477      29 0.00611882      61 45.29964644      50 35.60612213       1 1.07138183      10 8.62214247
      0.00017742     38.80723995     26.14547415     12.66130094      88 0.00054575      12 0.00002441      56 0.00038141      20 0.00013993      76 0.01743249      11 0.00091571      65 0.01651678       0 0.00000000      65 0.09743940       1 0.00130809       0 0.00000000      64 0.09613131     613 0.08419575     525 0.04857748      68 0.03238164      20 0.00323663      64 38.46880962      56 31.50511302       2 2.27038229       6 4.69331431
